RCR;ISIL;LIBELLE
300326101;FR-300326101;BEAUCAIRE-BM
300756201;FR-300756201;CAVEIRAC-BM
301305201;FR-301305201;GENOLHAC-Parc national Cevennes
301336201;FR-301336201;GRAU DU ROI-Médiathèque
301566201;FR-301566201;MARGUERITTES-Médiathèque
301892101;FR-301892101;NIMES-BU Médecine
301892102;FR-301892102;NIMES-BU VAUBAN
301892104;FR-301892104;NIMES-BU IUT
301892105;FR-301892105;NIMES-BU Hoche
301892201;FR-301892201;NIMES-INSPE-FDE
301892301;FR-301892301;NIMES-site EERIE de l'EMA
301892302;FR-301892302;NIMES-Ecole sup. des Beaux-Arts
301895101;FR-301895101;NIMES-Archives departementales
301895102;FR-301895102;NIMES-Doc. Art contemporain
301895103;FR-301895103;NIMES-Archives municipales
301895202;FR-301895202;NIMES-Ecole de musique
301895203;FR-301895203;NIMES-Musée de la Romanité
301896101;FR-301896101;NIMES-Bibl.Carré d'Art
301896301;FR-301896301;NIMES-BDP Gard
301899901;FR-301899901;NIMES-Bib. électronique
302432301;FR-302432301;ST-CHRISTOL/ALES-Rech.pathol.
302585401;FR-302585401;St-GILLES-Bib. Histoire Archéo
302586201;FR-302586201;ST GILLES-BM
302635401;FR-302635401;ST HYPPOLYTE/FORT-Bib. Sarran
302766201;FR-302766201;ST LAURENT-D'AIGOUZE-Médiat.
303345101;FR-303345101;UZES-Musee Georges Borias
303345102;FR-303345102;UZES-IFCE Médiathèque
303346201;FR-303346201;UZÈS-Médiathèque
303416201;FR-303416201;VAUVERT-Méd. J. Jaurès
303505101;FR-303505101;LE VIGAN-Musee cevenol
303516201;FR-303516201;VILLENEUVE LES AVIGNON-BM
310446201;FR-310446201;BALMA-BM
310692201;FR-310692201;BLAGNAC-IUT
310696201;FR-310696201;BLAGNAC-Méd. Odyssud
311132303;FR-311132303;CASTANET-TOLOSAN-ENFA
311495301;FR-311495301;COLOMIERS-Centre non-violence
311496202;FR-311496202;COLOMIERS-BM
311576201;FR-311576201;CUGNAUX-BM
312916201;FR-312916201;LEGUEVIN-BM
312975401;FR-312975401;LEVIGNAC-Abbaye Ste Marie Desert
313905201;FR-313905201;GOURDAN-POLIGNAN-LETP
313956201;FR-313956201;MURET-BM
314246201;FR-314246201;PLAISANCE-DU-TOUCH-Bibliotheque
314466201;FR-314466201;RAMONVILLE ST AGNE-Méd.
314516201;FR-314516201;REVEL-BM
314725301;FR-314725301;ST-BERTRAND-COMMINGES-Archéo.
314806201;FR-314806201;STE-FOY-D'AIGREFEUILLE Mediath.
314835301;FR-314835301;ST GAUDENS-Etudes du Comminges
314836201;FR-314836201;SAINT-GAUDENS-BM
314836301;FR-314836301;ST GAUDENS-BDP Annexe
314836401;FR-314836401;ST-GAUDENS-Méd. intercommunale
315066201;FR-315066201;ST-ORENS-DE-GAMEVILLE-BM
315552102;FR-315552102;TOULOUSE2-BUC Mirail
315552103;FR-315552103;TOULOUSE1-BU Arsenal
315552104;FR-315552104;TOULOUSE3-BU Sciences
315552105;FR-315552105;TOULOUSE3-BU Santé-Centrale
315552106;FR-315552106;TOULOUSE-INSA
315552107;FR-315552107;TOULOUSE1-BU Manufacture
315552108;FR-315552108;TOULOUSE-SICD-Livre ancien
315552109;FR-315552109;TOULOUSE3-BU Santé-Allées
315552110;FR-315552110;TOULOUSE1-BOUTARIC
315552154;FR-315552154;TOULOUSE-INP
315552201;FR-315552201;TOULOUSE2-CAS
315552203;FR-315552203;TOULOUSE-C.Etudes urbaines
315552205;FR-315552205;TOULOUSE3-LRSV
315552206;FR-315552206;TOULOUSE-FeRMI
315552207;FR-315552207;TOULOUSE-ESAV
315552210;FR-315552210;TOULOUSE2-CR des langues
315552213;FR-315552213;TOULOUSE-Inst.Et.Politiques
315552214;FR-315552214;TOULOUSE2-EFTS
315552216;FR-315552216;TOULOUSE3-Pharmacognosie
315552217;FR-315552217;TOULOUSE2-BUC Mirail-CRATA
315552218;FR-315552218;TOULOUSE2–C Lettres Arts Philo
315552219;FR-315552219;TOULOUSE2-BUC Mirail-ERASME
315552220;FR-315552220;TOULOUSE2-CR Louise Michel
315552226;FR-315552226;TOULOUSE1-CRM
315552231;FR-315552231;TOULOUSE2-LISST-DR
315552232;FR-315552232;TOULOUSE3-Inst.Rech.Informatique
315552233;FR-315552233;TOULOUSE2-OCTOGONE LORDAT
315552235;FR-315552235;TOULOUSE3-Chimie organique
315552236;FR-315552236;TOULOUSE-Jardin botanique
315552243;FR-315552243;TOULOUSE-C. Anthropologie soc.
315552244;FR-315552244;TOULOUSE2-CLLE-ERSS
315552245;FR-315552245;TOULOUSE2-CERTOP
315552247;FR-315552247;TOULOUSE3-Bib Math. et Méca.
315552248;FR-315552248;TOULOUSE2-CR Olympe de Gouges
315552250;FR-315552250;TOULOUSE3-Sc. hum. et sociales
315552253;FR-315552253;TOULOUSE1-Bib.Garrigou
315552259;FR-315552259;TOULOUSE1-C.Hist.Droit/Idées p
315552261;FR-315552261;TOULOUSE1-C.Et.Rech.Droit espace
315552269;FR-315552269;TOULOUSE2-Psycho.développement
315552270;FR-315552270;TOULOUSE2-Pôle européen
315552271;FR-315552271;TOULOUSE3-Epidémiologie
315552272;FR-315552272;TOULOUSE-CHU-Anatomie/Cytologie
315552275;FR-315552275;TOULOUSE-CHU-Angiologie
315552282;FR-315552282;TOULOUSE2-GEODE
315552287;FR-315552287;TOULOUSE2-CREG
315552289;FR-315552289;TOULOUSE3-IUT-Ponsan
315552290;FR-315552290;TOULOUSE-Bib.Etudes Meridionales
315552291;FR-315552291;TOULOUSE2-CEDOCAL
315552298;FR-315552298;TOULOUSE1-Centres de recherche
315552299;FR-315552299;TOULOUSE-Observ. Midi Pyréné
315552301;FR-315552301;TOULOUSE-EN Vétérinaire
315552303;FR-315552303;TOULOUSE-LAAS-CNRS
315552311;FR-315552311;TOULOUSE-Ecole Ingén. Purpan
315552312;FR-315552312;TOULOUSE-TBS
315552314;FR-315552314;TOULOUSE-Lab.Chimie coordination
315552318;FR-315552318;TOULOUSE-ISAE
315552319;FR-315552319;TOULOUSE-ENAC
315552320;FR-315552320;TOULOUSE-ONERA-Technol.Spatial.
315552324;FR-315552324;TOULOUSE-ENSAT
315552325;FR-315552325;TOULOUSE-ENSIACET
315552327;FR-315552327;TOULOUSE-ISDAT
315552331;FR-315552331;TOULOUSE-ENSEEIHT
315552337;FR-315552337;TOULOUSE-Inst.Mécanique Fluide
315552348;FR-315552348;TOULOUSE3-IUT-Rangueil
315552349;FR-315552349;TOULOUSE-IRFSS
315552354;FR-315552354;TOULOUSE INSPE Rangueil
315552355;FR-315552355;TOULOUSE INSPE Saint-Agne
315552356;FR-315552356;TOULOUSE-EFEO
315552357;FR-315552357;TOULOUSE-Ecole Architecture
315552358;FR-315552358;TOULOUSE-INSPE Croix de Pierre
315555101;FR-315555101;TOULOUSE-Archives Dép.
315555102;FR-315555102;TOULOUSE-Institut Cervantès
315555103;FR-315555103;TOULOUSE-Museum Hist.Naturelle
315555105;FR-315555105;TOULOUSE-CAUE Haute Garonne
315555106;FR-315555106;TOULOUSE-Conservat.ray.Région
315555112;FR-315555112;TOULOUSE-Acad.Sci.Belles-lettres
315555115;FR-315555115;TOULOUSE-Centre Doc. Patrimoine
315555118;FR-315555118;TOULOUSE-Conseil général
315555119;FR-315555119;TOULOUSE-Cinémathèque
315555121;FR-315555121;TOULOUSE-Archives municipales
315555122;FR-315555122;TOULOUSE-DRAC
315555123;FR-315555123;TOULOUSE-Musee du Vieux Toulouse
315555124;FR-315555124;TOULOUSE-Bib. Musée G. Labit
315555201;FR-315555201;TOULOUSE-Centre C.Régaud
315555204;FR-315555204;TOULOUSE1-Inst.Et.Jur.Urbanisme
315555205;FR-315555205;TOULOUSE-Airbus
315555213;FR-315555213;TOULOUSE-Météopole
315555216;FR-315555216;TOULOUSE-INSEE-Dir.Regionale
315555218;FR-315555218;TOULOUSE-CHU-Nephrologie
315555222;FR-315555222;TOULOUSE-CHU-Explor.fonc.Resp.
315555230;FR-315555230;TOULOUSE-IFRASS
315555234;FR-315555234;TOULOUSE-CERFACS
315555240;FR-315555240;TOULOUSE-TRACES-CNRS
315555243;FR-315555243;TOULOUSE-Musée des Augustins
315555244;FR-315555244;TOULOUSE-CH MARCHANT-Doc.
315555245;FR-315555245;TOULOUSE- Musée des Abattoirs
315555246;FR-315555246;TOULOUSE-Musée Paul Dupuy
315555247;FR-315555247;TOULOUSE-Musée St Raymond
315555248;FR-315555248;TOULOUSE- Acad. air espace
315555302;FR-315555302;TOULOUSE-Inst.Catholique
315555304;FR-315555304;TOULOUSE-Acad.Jeux Floraux
315555305;FR-315555305;TOULOUSE-Couvent St Thomas d'A.
315555306;FR-315555306;TOULOUSE-Centre Occitan
315555310;FR-315555310;TOULOUSE-Casal Catala
315555313;FR-315555313;TOULOUSE-CIDES
315555314;FR-315555314;TOULOUSE-Societe d'Histoire Nat.
315555406;FR-315555406;TOULOUSE-Sté Archéolog. Midi
315555410;FR-315555410;TOULOUSE-Thales Alenia Space
315555411;FR-315555411;TOULOUSE-Saint-Sernin
315555412;FR-315555412;TOULOUSE-ICAM
315555413;FR-315555413;TOULOUSE-Bib. des franciscains
315555414;FR-315555414;TOULOUSE-Bib. Grand séminaire
315555415;FR-315555415;TOULOUSE-Musee du Vieux-Toulouse
315556101;FR-315556101;TOULOUSE-BM
315556102;FR-315556102;TOULOUSE-Mediathèque Cabanis
315556301;FR-315556301;TOULOUSE-BDP Haute Garonne
315556401;FR-315556401;TOULOUSE-Gal.Château d'eau
315559901;FR-315559901;TOULOUSE-Université-Bib.élec
315559902;FR-315559902;TOULOUSE1-SCD-Bib. electronique
315559903;FR-315559903;TOULOUSE2-SCD-Bib. electronique
315559904;FR-315559904;TOULOUSE3-SCD-Bib. electronique
315559905;FR-315559905;TOULOUSE-INSA-Bib. electronique
315559906;FR-315559906;TOULOUSE-ENAC-Bib. Élec.
315559907;FR-315559907;TOULOUSE-ISAE-Bib. Élec.
315559908;FR-315559908;TOULOUSE1-Bib élec (S)
315559909;FR-315559909;TOULOUSE2-Bib élec (S)
315559910;FR-315559910;TOULOUSE3-Bib élec (S)
315559911;FR-315559911;TOULOUSE-INP-Bib élec (S)
315559912;FR-315559912;TOULOUSE-INSA-Bib élec (S)
315559913;FR-315559913;TOULOUSE-ISAE-Bib élec (S)
315559914;FR-315559914;TOULOUSE-ENAC-Bib élec (S)
315575201;FR-315575201;TOURNEFEUILLE-Litt. jeunesse
315576201;FR-315576201;TOURNEFEUILLE-BM
320132201;FR-320132201;AUCH-IUT
320132301;FR-320132301;AUCH-INSPE
320135101;FR-320135101;AUCH-CAUE Gers
320135102;FR-320135102;AUCH-Archives Départementales
320135104;FR-320135104;AUCH-CDDP
320135201;FR-320135201;AUCH-LEGTA
320135203;FR-320135203;AUCH-Lycée technique
320135302;FR-320135302;AUCH-Societe Archeol. du Gers
320135401;FR-320135401;AUCH-Bib. Grand Séminaire
320136201;FR-320136201;AUCH-BM
320136301;FR-320136301;AUCH-BDP Gers
321076201;FR-321076201;CONDOM-BM
321295101;FR-321295101;ESTRAMIAC-Archives municipales
322085101;FR-322085101;LECTOURE-Archives municipales
322086201;FR-322086201;LECTOURE-BM
323196201;FR-323196201;PLAISANCE DU GERS-Mediatheque
330092101;FR-330092101;BORDEAUX-UB-Bib.Station marine
330096201;FR-330096201;ARCACHON-BM
330195201;FR-330195201;AUDENGE-Cons. Botanique Sud-Atl.
330366201;FR-330366201;BAZAS-Mé. Municipale
330396201;FR-330396201;BEGLES-BM
330566201;FR-330566201;BLANQUEFORT-Méd. Les Colonnes
330632101;FR-330632101;BORDEAUX-UB-BU Sciences du viva
330632102;FR-330632102;BORDEAUX-UB-BU Sciences de l'ho
330632103;FR-330632103;BORDEAUX-UB-Bib.Pluridisciplina
330632201;FR-330632201;BORDEAUX-UB-Bib.Infothèque
330632207;FR-330632207;BORDEAUX-ISPED
330632209;FR-330632209;BORDEAUX-UB-Bib.Centre Recherche
330632212;FR-330632212;BORDEAUX-INSPE
330632213;FR-330632213;BORDEAUX- Bib. CERCCLE et ISCJ
330635101;FR-330635101;BORDEAUX-Archives Dép.
330635102;FR-330635102;BORDEAUX-CAPC
330635104;FR-330635104;BORDEAUX-DRAC Aquitaine
330635105;FR-330635105;BORDEAUX-Archives Bx métropole
330635106;FR-330635106;BORDEAUX MONTAIGNE- BIFA
330635107;FR-330635107;BORDEAUX-Musée Arts decoratifs
330635108;FR-330635108;BORDEAUX-Jardin Botanique
330635109;FR-330635109;BORDEAUX-Conservatoire Thibaud
330635110;FR-330635110;BORDEAUX-Bib musée des douanes
330635111;FR-330635111;BORDEAUX-Serv. Rég. Inventaire
330635201;FR-330635201;BORDEAUX-Musée d' Aquitaine
330635203;FR-330635203;BORDEAUX-Ecole Nat.Magistrature
330635207;FR-330635207;BORDEAUX-Musée des Beaux-Arts
330635208;FR-330635208;BORDEAUX-Ecole des Beaux-Arts
330635209;FR-330635209;BORDEAUX-Instituto Cervantes
330635210;FR-330635210;BORDEAUX-A'URBA
330635212;FR-330635212;BORDEAUX-ALCA
330635401;FR-330635401;BORDEAUX-Nous voulons lire
330636101;FR-330636101;BORDEAUX-BM
330636201;FR-330636201;BORDEAUX-Bib. des Capucins
330636501;FR-330636501;BORDEAUX-Bibl.Diocésaine
330696201;FR-330696201;LE BOUSCAT-Méd. Municipale
330756201;FR-330756201;BRUGES-Ludo-Médiathèque
330865301;FR-330865301;CAMIAC-ET-SAINT-DENIS-CLEM
330966201;FR-330966201;CARBON-BLANC-M�ediath�eque
331196201;FR-331196201;CENON-Méd. J. Rivière
331226201;FR-331226201;CESTAS-Méd. municipale
331626201;FR-331626201;EYSINES-BM J. Degoul
331672201;FR-331672201;BORDEAUX-Bib.LAB
331922101;FR-331922101;BORDEAUX-UB-IUT-Bib. Gradignan
331922201;FR-331922201;GRADIGNAN-Etudes nucléaires
331922301;FR-331922301;GRADIGNAN-Bordeaux Sciences Agro
331922302;FR-331922302;BORDEAUX-Médiaquitaine-CRFCB
331926201;FR-331926201;GRADIGNAN-BM
331996201;FR-331996201;GUJAN MESTRAS- Médiathèque
332006201;FR-332006201;LE HAILLAN-BM
332435101;FR-332435101;LIBOURNE-Archives municipales
332436201;FR-332436201;LIBOURNE-Médiathèque
332496201;FR-332496201;LORMONT-BM
332812201;FR-332812201;MERIGNAC-INSPE
332816201;FR-332816201;MERIGNAC-BM
333182101;FR-333182101;BORDEAUX-UB-CRDEI
333182102;FR-333182102;BORDEAUX-UB-Bib.Economie
333182103;FR-333182103;PESSAC-IPB-ENSCBP
333182201;FR-333182201;BORDEAUX-UB-Bib. Sc. Economiques
333182204;FR-333182204;BORDEAUX-Bib.ICMCB
333182205;FR-333182205;BORDEAUX-UB-Bib.Droit privé
333182207;FR-333182207;BORDEAUX MONTAIGNE-Bib.IATU
333182208;FR-333182208;BORDEAUX-UB-Bib.Hist. du droit
333182210;FR-333182210;BORDEAUX-UB-Bib.Droit public
333182211;FR-333182211;BORDEAUX-UB-Bib.Institut du tra
333182213;FR-333182213;BORDEAUX-Bib.CRPP
333185101;FR-333185101;PESSAC-Espace Histoire Image
333186201;FR-333186201;PESSAC-Médiathèque J. Ellul
333189901;FR-333189901;PESSAC-IPB-ENSCBP-Bib. Num.
334026201;FR-334026201;STE-FOY-LA-GRANDE-Bibliothèque
334385301;FR-334385301;ST MAIXANT-Centre de Malagar
334496201;FR-334496201;ST-MEDARD-EN-JALLES-Méd.
334496301;FR-334496301;ST MEDARD EN JALLES-BDP Gironde
334786201;FR-334786201;ST SEURIN/L'ISLE-Bib. J. Cocteau
335196201;FR-335196201;LE TAILLAN-MEDOC-BM
335222101;FR-335222101;BORDEAUX-UB- BU Sciences et Tec
335222102;FR-335222102;BORDEAUX-UB-BU Droit-Sc. po-eco
335222103;FR-335222103;BORDEAUX MONTAIGNE BU LSH
335222104;FR-335222104;Pas de collections
335222105;FR-335222105;BORDEAUX-UB-Bib.STAPS
335222106;FR-335222106;BORDEAUX MONTAIGNE-Espagnol
335222107;FR-335222107;BORDEAUX MONTAIGNE-Géo-Carto
335222108;FR-335222108;BORDEAUX MONTAIGNE-bib Guillemin
335222109;FR-335222109;BORDEAUX MONTAIGNE- bib LE-LEA
335222110;FR-335222110;BORDEAUX MONTAIGNE-bib E Vinet
335222111;FR-335222111;TALENCE-IPB-ENSC
335222201;FR-335222201;BORDEAUX-UB-Bib. EPOC
335222203;FR-335222203;BORDEAUX-SCIENCES PO-IEP
335222205;FR-335222205;BORDEAUX MONTAIGNE-R. Etienne
335222209;FR-335222209;BORDEAUX-UB-Bib.BMI
335222214;FR-335222214;PESSAC-MSHA
335222216;FR-335222216;BORDEAUX MONTAIGNE-CRM IUT/IJBA
335222221;FR-335222221;PESSAC-IPB-ENSEGID
335222225;FR-335222225;TALENCE- PACEA
335222302;FR-335222302;BORDEAUX-REGARDS
335222303;FR-335222303;BORDEAUX-Ecole Archi Paysage
335222304;FR-335222304;BORDEAUX-Arts et Métiers
335222306;FR-335222306;TALENCE-IPB-ENSEIRB-MATMECA
335225201;FR-335225201;TALENCE-IRTS Aquitaine
335225202;FR-335225202;TALENCE-CREPS
335225203;FR-335225203;PESSAC-CHU Bordeaux Centre doc
335226201;FR-335226201;TALENCE-Méd. G. Castagnera
335229901;FR-335229901;BORDEAUX-UB-Bib.Electronique
335229906;FR-335229906;BORDEAUX MONTAIGNE-Thèses.Num.
335229907;FR-335229907;BORDEAUX-IEP-Bib. Electronique
335229908;FR-335229908;NOUV AQUITAINE Bordeaux-Bib elec
335229909;FR-335229909;BORDEAUX MONTAIGNE-Bib.Elec.
335229910;FR-335229910;BORDEAUX-UB-Bib. Numérique
335229911;FR-335229911;BORDEAUX-IEP-Bib Elec-Mémoires
335296201;FR-335296201;LA TESTE-BM
335502201;FR-335502201;BORDEAUX-UB-VillenaveOrnon-ISVV
335502301;FR-335502301;VILLENAVE D'ORNON-INRA
335506201;FR-335506201;VILLENAVE-D'ORNON-Mediatheque
340035101;FR-340035101;AGDE-Archives municipales
340036201;FR-340036201;AGDE-Maison des savoirs
340322101;FR-340322101;BEZIERS-ESPACE MICHEL SERRES
340322102;FR-340322102;BEZIERS-BU Du Guesclin
340325101;FR-340325101;BEZIERS-CIRDOC
340325301;FR-340325301;BEZIERS-Société archéol.
340326201;FR-340326201;BÉZIERS-Méd. André Malraux
340326301;FR-340326301;BEZIERS-BDP Annexe
340329901;FR-340329901;BEZIERS-Occitanica Bib. Num.
340576201;FR-340576201;CASTELNAU-LE-LEZ-BM
340586201;FR-340586201;CASTRIES-Méd. F. Giroud
340776201;FR-340776201;CLAPIERS-Médiathèque
340796201;FR-340796201;CLERMONT L'HÉRAULT-BM
341086201;FR-341086201;FRONTIGNAN-BM
341206201;FR-341206201;JACOU-Médiathèque Jennepin
341296201;FR-341296201;LATTES-BM
341346201;FR-341346201;LAVERUNE-Med. La Fontaine
341426201;FR-341426201;LODEVE-Médiathèque
341456201;FR-341456201;LUNEL-BM
341456202;FR-341456202;LUNEL-Médiathèque intercom.
341506201;FR-341506201;MARSEILLAN-Méd. La Fabrique
341546201;FR-341546201;MAUGUIO-Méd. G. Baissette
341722101;FR-341722101;MONTPELLIER-SCDI
341722102;FR-341722102;MONTPELLIER-BU Droit
341722103;FR-341722103;MONTPELLIER-BU Lettres
341722104;FR-341722104;MONTPELLIER-BU Hist. Médecine
341722105;FR-341722105;MONTPELLIER-BU Pharmacie
341722106;FR-341722106;MONTPELLIER-BU Sciences
341722108;FR-341722108;MONTPELLIER-BU Médecine UPM
341722110;FR-341722110;MONTPELLIER-BU Odontologie
341722111;FR-341722111;MONTPELLIER-BU IUT
341722112;FR-341722112;MONTPELLIER-BU Saint Charles
341722201;FR-341722201;MONTPELLIER-Inst.Botanique
341722203;FR-341722203;MONTPELLIER2-Dép.mathématiqu
341722204;FR-341722204;MONTPELLIER-Ecole Nat.Chimie
341722205;FR-341722205;MONTPELLIER2-Dép.biologie sant
341722206;FR-341722206;MONTPELLIER-INSPE-FDE
341722207;FR-341722207;MONTPELLIER-FDE CEDRHE
341722208;FR-341722208;MONTPELLIER-BUFR Droit
341722209;FR-341722209;MONTPELLIER-BUFR Grec
341722210;FR-341722210;Montpellier-BUFR Portugais
341722211;FR-341722211;Montpellier-BUFR Italien
341722213;FR-341722213;Montpellier3-Bib. Philosophie
341722215;FR-341722215;Montpellier-Bib. Egyptologie
341722221;FR-341722221;MONTPELLIER-CDPS Lettres
341722222;FR-341722222;MONTPELLIER-CDPS Lettres class.
341722223;FR-341722223;MONTPELLIER-BUFR Allemand
341722225;FR-341722225;MONTPELLIER3-CDPS Histoire
341722227;FR-341722227;MONTPELLIER3-Bib. AES Sci. educ.
341722228;FR-341722228;MONTPELLIER3-CDPS Psy.Soc.Ethno
341722229;FR-341722229;MONTPELLIER3-Bib. hispanique
341722239;FR-341722239;MONTPELLIER-Bib. B2E
341722241;FR-341722241;MONTPELLIER-Bib. du LMGC
341722242;FR-341722242;MONTPELLIER-Bib. Arts
341722243;FR-341722243;MONTPELLIER-Bib. ITIC
341722244;FR-341722244;MONTPELLIER-BUFR Occitan
341722245;FR-341722245;MONTPELLIER-Bib. SLB-IBMM
341722247;FR-341722247;MONTPELLIER-DIPRALANG
341722248;FR-341722248;MONTPELLIER-Archeo Soc. Médit.
341722296;FR-341722296;MONTPELLIER-INST. ARCHEOLOGIE
341722298;FR-341722298;MONTPELLIER-CDPS Géographie
341722299;FR-341722299;MONTPELLIER-BUFR Anglo-améric
341722303;FR-341722303;MONTPELLIER-IAM
341722304;FR-341722304;MONTPELLIER-CEFE-CNRS
341722305;FR-341722305;MONTPELLIER2-Microbiol.Immunol.
341722306;FR-341722306;MONTPELLIER-SupAgro La Gaillarde
341722307;FR-341722307;MONTPELLIER-CIRAD La Valette
341722308;FR-341722308;MONTPELLIER-C.Rech.Biochimie
341722309;FR-341722309;MONTPELLIER-CEMAGREF
341722310;FR-341722310;MONTPELLIER-SupAgro IRC
341722311;FR-341722311;MONTPELLIER-AgroParisTech-ENGREF
341722312;FR-341722312;MONTPELLIER-IRD
341722314;FR-341722314;MONTPELLIER-CIRAD-Baillarguet
341722321;FR-341722321;MONTPELLIER-Fac.Théol.Protest.
341722322;FR-341722322;MONTPELLIER-Centre Bartoli
341722323;FR-341722323;MONTPELLIER-LIRMM
341722324;FR-341722324;MONTPELLIER-Ecole sup Beaux-Arts
341722325;FR-341722325;MONTPELLIER-Ecole Architecture
341723001;FR-341723001;MONTPELLIER-Acad.Sci.Lettres
341725101;FR-341725101;MONTPELLIER-Archives Dép.
341725103;FR-341725103;MONTPELLIER-Maison Sc.de l'eau
341725104;FR-341725104;MONTPELLIER-CDTM
341725105;FR-341725105;MONTPELLIER-Archives municipales
341725106;FR-341725106;MONTPELLIER-SCUIO-IP-CV
341725107;FR-341725107;MONTPELLIER-SCUIO-IP-TRIOLET
341725201;FR-341725201;MONTPELLIER-ABES-Documentation
341725202;FR-341725202;MONTPELLIER-ABES-Tests
341725203;FR-341725203;MONTPELLIER-CNR
341725204;FR-341725204;MONTPELLIER-Opéra Comédie
341725206;FR-341725206;MONTPELLIER-Livre et Lecture
341725298;FR-341725298;ABES-Licence nationale
341725299;FR-341725299;ABES-Réseau Sudoc
341725401;FR-341725401;MONTPELLIER-Soc. archéologique
341726101;FR-341726101;MONTPELLIER-BM
341726102;FR-341726102;MONTPELLIER-Med. Fellini
341726201;FR-341726201;MONTPELLIER-Med. Garcia Lorca
341726202;FR-341726202;MONTPELLIER-Med.Victor Hugo
341726203;FR-341726203;MONTPELLIER-Bib. Sartre
341726204;FR-341726204;MONTPELLIER-Med.Shakespeare
341726205;FR-341726205;MONTPELLIER-Med. Rousseau
341726206;FR-341726206;MONTPELLIER-Bib. Langevin
341726301;FR-341726301;MONTPELLIER-BDP de l'Hérault
341729901;FR-341729901;MONTPELLIER-Bib.electronique
341835201;FR-341835201;Enserune-Musée Oppidum
341986201;FR-341986201;PEROLS-Med. Giono
341996401;FR-341996401;PEZENAS-Mediath. Edmond Charlot
342026201;FR-342026201;PIGNAN-Médiathèque
342566201;FR-342566201;ST-GENIES-DES-MOURGUES-BM
342706201;FR-342706201;ST-JEAN-DE-VEDAS-Méd. J. Verne
342896201;FR-342896201;ST-THIBERY-Bib. Hérault Médi
342986201;FR-342986201;SAUVIAN-Médiathèque
343012101;FR-343012101;SETE-BU IUT
343015101;FR-343015101;SETE-Espace Georges Brassens
343015102;FR-343015102;SETE-Musee Paul Valery
343015103;FR-343015103;SÈTE-Bib. Archives municipales
343016201;FR-343016201;SETE-Médiathèque municipale
343276201;FR-343276201;VENDARGUES-BM
343366401;FR-343366401;VILLENEUVE/BEZIERS-Mediatheque
343376201;FR-343376201;VILLENEUVE-LES-MAGUELONE-Mediat.
350066201;FR-350066201;ARGENTRÉ-DU-PLESSIS-BM
350126201;FR-350126201;BAIN-DE-BRETAGNE-Mediathèque
350246201;FR-350246201;BETTON-Médiathèque
350472301;FR-350472301;BRUZ-ENS Rennes
350472302;FR-350472302;BRUZ-Bib. ICR
350476201;FR-350476201;BRUZ-BM
350479701;FR-350479701;BRUZ-ENSAI / STAR
350496201;FR-350496201;CANCALE-BM
350512301;FR-350512301;CESSON SEVIGNE-Télécom Breta
350512302;FR-350512302;CESSON SEVIGNE-CentraleSupelec
350516201;FR-350516201;CESSON SEVIGNE-BM
350556201;FR-350556201;CHANTEPIE-Médiathèque
350666201;FR-350666201;CHARTRES/BRETAGNE-BM
350695401;FR-350695401;RENNES-Archives Critique d'art
350696401;FR-350696401;CHATEAUGIRON-Médiathèque
350796201;FR-350796201;CHEVAIGNÉ-BM L'Accolade
350932301;FR-350932301;DINARD-EPHE Labo géomorph.
350935101;FR-350935101;DINARD-Musee du site balnéaire
350935201;FR-350935201;DINARD-Bibl. Station marine
350936201;FR-350936201;DINARD-BM
351156401;FR-351156401;FOUGERES COMMUNAUTE. Bibl.
351266201;FR-351266201;GUICHEN-Médiathèque
351686201;FR-351686201;VAL D'ANAST-Médiathèque
351736201;FR-351736201;MELESSE-BM
351776201;FR-351776201;LA MEZIERE-Médiathèque
351846201;FR-351846201;MONTAUBAN/BRETAGNE-BM
352066201;FR-352066201;NOYAL-CHATILLON-Médiathèque
352366201;FR-352366201;REDON-BM
352382101;FR-352382101;RENNES2-BU Centrale
352382102;FR-352382102;RENNES 1-BU Beaulieu
352382103;FR-352382103;RENNES 1-BU Villejean Santé
352382104;FR-352382104;RENNES 1-BU Centre
352382106;FR-352382106;RENNES 1-Bibliothèque en ligne
352382136;FR-352382136;RENNES2-Bib. Musique
352382139;FR-352382139;RENNES2-Médiathèque
352382209;FR-352382209;RENNES1-OSUR
352382210;FR-352382210;RENNES-INSA
352382212;FR-352382212;RENNES2-Bib. Sciences Humaines
352382213;FR-352382213;RENNES2-Bib. Sciences Sociales
352382217;FR-352382217;RENNES-IRMAR
352382219;FR-352382219;RENNES1-Lab.Ethologie
352382227;FR-352382227;RENNES1-Bibliothèque du CEDRE
352382237;FR-352382237;RENNES2-Bib. STAPS
352382238;FR-352382238;RENNES2-Bib. Arts Lettres Com.
352382241;FR-352382241;RENNES1-Bibliothèque IEJ
352382242;FR-352382242;RENNES1-IUT GEA-CS
352382243;FR-352382243;RENNES1-SOIE
352382245;FR-352382245;RENNES1-Bib. CHD
352382246;FR-352382246;RENNES2-LAHM
352382247;FR-352382247;RENNES-Institut catholique
352382251;FR-352382251;RENNES-Bib. SCELVA-Sciences
352382305;FR-352382305;RENNES-EHESP
352382306;FR-352382306;RENNES-Agrocampus-Bibl. végé
352382307;FR-352382307;RENNES-Agrocampus-UMR SAS
352382308;FR-352382308;RENNES-Agrocampus-Bibl. Linné
